BBLCOUNT        1.0         0
0x7fa7b92abb81 1 2 10
0x7fa7b92abb8b 1 6 21
0x7fa7b92abc20 11805 5 19
0x7fa7b92abc90 10201 7 19
0x7fa7b92abbaa 11805 5 9
0x7fa7b92abc3c 0 2 10
0x7fa7b92abc33 11805 2 9
0x7fa7b92abb74 22005 3 13
0x7fa7b92abb8b 11804 6 21
0x7fa7b92abb81 11804 2 10
0x7fa7b92abb69 10201 2 11
0x7fa7b92ac5a4 11804 3 13
0x7fa7b92ac590 11805 3 10
0x7fa7b92ac59a 1 4 23
0x7fa7b92ac777 1 6 12
0x7fa7b92ac750 2 9 23
0x7fa7b92ac767 1 2 4
0x7fa7b92ac777 1 6 12
0x7fa7b92ac76b 1 4 12
0x7fa7b92ac76b 1 4 12
0x7fa7b92ac8a4 10120 7 28
0x7fa7b92ac89f 10120 2 5
0x7fa7b92ac860 30120 9 22
0x7fa7b92ac91e 20000 6 9
0x7fa7b92ac876 10120 8 25
0x7fa7b92ac8b0 478 5 16
0x7fa7b92ac8c0 120 6 20
0x7fa7b92ac8d4 0 5 21
0x7fa7b92ac88f 10120 5 16
0x7fa7b92ac8c0 10000 6 20
0x7fa7b92ac918 10120 8 15
0x7fa7b92aca35 2 11 56
0x7fa7b92aca1a 2 6 27
0x7fa7b92aca15 0 2 5
0x7fa7b92aca10 2 2 5
0x7fa7b92aca07 2 2 9
0x7fa7b92ac9f0 2 8 23
0x7fa7b92acebe 3 2 8
0x7fa7b92acfb7 0 2 13
0x7fa7b92acf87 3 1 5
0x7fa7b92acf79 3 3 14
0x7fa7b92acf55 3 7 36
0x7fa7b92acf4c 3 2 9
0x7fa7b92acf2f 1 4 17
0x7fa7b92acf22 1 3 13
0x7fa7b92acf0f 1 4 19
0x7fa7b92ace85 1 2 11
0x7fa7b92ace5d 1 8 40
0x7fa7b92ace50 1 2 13
0x7fa7b92ace30 1 4 16
0x7fa7b92ace0a 1 6 38
0x7fa7b92acdf0 1 8 26
0x7fa7b92acfc6 1 2 12
0x7fa7b92acec6 3 3 13
0x7fa7b92acff2 1 7 13
0x7fa7b92acfd7 0 6 27
0x7fa7b92acfd2 1 2 5
0x7fa7b92acfa3 1 3 20
0x7fa7b92acf90 1 5 19
0x7fa7b92acf40 0 2 10
0x7fa7b92acf2f 2 4 17
0x7fa7b92acf22 2 3 13
0x7fa7b92acf0f 2 4 19
0x7fa7b92acef7 3 4 24
0x7fa7b92aceef 3 2 8
0x7fa7b92aced3 3 3 17
0x7fa7b92ad0d8 2 3 11
0x7fa7b92ad220 1 7 14
0x7fa7b92ad205 0 6 27
0x7fa7b92ad201 1 2 4
